"symbol","date","adjusted","sma_50","buy_or_sell","shares_owned","invested","savings_account_balance","profit"
"SPY",2005-12-30,93.247948,92.6284139800002,0,2085.66036538749,194854.504328515,0,0
"SPY",2006-01-31,95.487236,94.8016460800001,0,2096.13296928609,195854.504328515,0,0
"SPY",2006-02-28,96.033905,95.3947692600001,0,2106.54595832366,196854.504328515,0,0
"SPY",2006-03-31,97.618866,96.3045495400001,0,2116.78987982138,197854.504328515,0,0
"SPY",2006-04-28,98.851974,97.3707095000001,0,2126.90601569136,198854.504328515,0,0
"SPY",2006-05-31,95.874489,97.5071244400001,1,0,0,204916.027405435,5061.52307691952
"SPY",2006-06-30,96.124527,96.1095765800001,0,2142.17987679081,205916.027405435,0,0
"SPY",2006-07-31,96.555,94.9131863200001,0,2152.53666825681,206916.027405435,0,0
"SPY",2006-08-31,98.662056,96.1305624200001,0,2162.67227702621,207916.027405435,0,0
"SPY",2006-09-29,101.32605,98.1531291800001,0,2172.54140742259,208916.027405435,0,0
"SPY",2006-10-31,104.5196,101.1971412,0,2182.10899091889,209916.027405435,0,0
"SPY",2006-11-30,106.597939,103.9489756,0,2191.49003533101,210916.027405435,0,0
"SPY",2006-12-29,108.023308,106.26974956,0,2200.74729673612,211916.027405435,0,0
"SPY",2007-01-31,109.648041,107.81760662,0,2209.86738671565,212916.027405435,0,0
"SPY",2007-02-28,107.496994,109.15017812,1,0,0,238554.101210568,24638.0738051333
"SPY",2007-03-30,108.742783,108.85019868,1,0,0,239554.101210568,0
"SPY",2007-04-30,113.559608,109.77862904,0,2118.30690020142,240554.101210568,0,0
"SPY",2007-05-31,117.41156,113.2966365,0,2126.82394911892,241554.101210568,0,0
"SPY",2007-06-29,115.694931,115.77404136,1,0,0,247062.750042461,4508.64883189261
"SPY",2007-07-31,112.072456,116.58379664,1,0,0,248062.750042461,0
"SPY",2007-08-31,113.510658,114.44128968,1,0,0,249062.750042461,0
"SPY",2007-09-28,117.905167,113.82495252,0,2120.88033463759,250062.750042461,0,0
"SPY",2007-10-31,119.504715,116.62168148,0,2129.24820531114,251062.750042461,0,0
"SPY",2007-11-30,114.87603,116.34407686,1,0,0,245599.580710769,-6463.16933169172
"SPY",2007-12-31,113.582451,114.57485306,1,0,0,246599.580710769,0
"SPY",2008-01-31,106.715118,110.86913132,1,0,0,247599.580710769,0
"SPY",2008-02-29,103.957336,107.65129348,1,0,0,248599.580710769,0
"SPY",2008-03-31,103.02771,104.05458084,1,0,0,249599.580710769,0
"SPY",2008-04-30,107.938255,105.0609219,0,2321.69383052162,250599.580710769,0,0
"SPY",2008-05-30,109.569855,107.6554902,0,2330.82042834362,251599.580710769,0,0
"SPY",2008-06-30,100.412506,107.4690715,1,0,0,235043.520245976,-17556.0604647929
"SPY",2008-07-31,99.510231,102.68615984,1,0,0,236043.520245976,0
"SPY",2008-08-29,101.048027,99.9455143600001,0,2345.85006044676,237043.520245976,0,0
"SPY",2008-09-30,91.53196,98.4456805400001,1,0,0,215720.253898811,-22323.2663471655
"SPY",2008-10-31,76.412132,87.5070705600001,1,0,0,216720.253898811,0
"SPY",2008-11-28,71.093338,76.7198716400001,1,0,0,217720.253898811,0
"SPY",2008-12-31,71.789795,70.3086638200001,0,3046.67611738981,218720.253898811,0,0
"SPY",2009-01-30,65.894806,68.8318016400002,1,0,0,201760.131700235,-17960.1221985757
"SPY",2009-02-27,58.814491,67.4075879000001,1,0,0,202760.131700235,0
"SPY",2009-03-31,63.714348,63.0618717400002,0,3198.02584655241,203760.131700235,0,0
"SPY",2009-04-30,70.044128,63.7340940000002,0,3212.30256079747,204760.131700235,0,0
"SPY",2009-05-29,74.138451,69.1449639800002,0,3225.79083829061,205760.131700235,0,0
"SPY",2009-06-30,74.089905,72.8317890800002,0,3239.28795372085,206760.131700235,0,0
"SPY",2009-07-31,79.617432,74.6784651200002,0,3251.84801720041,207760.131700235,0,0
"SPY",2009-08-31,82.558472,77.7137371600002,0,3263.96064447869,208760.131700235,0,0
"SPY",2009-09-30,85.485748,82.3777023000002,0,3275.65850082779,209760.131700235,0,0
"SPY",2009-10-30,83.842247,85.1815116200001,1,0,0,275638.569114054,64878.4374138186
"SPY",2009-11-30,89.00753,87.0963727600001,0,3108.03556860924,276638.569114054,0,0
