"symbol","date","adjusted","sma_50","invested","shares","total_shares_value","profit"
"SPY",2009-02-27,58.814491,67.4075879000001,191000,3155.46842388402,185587.269217311,-5412.73078268941
"SPY",2009-03-31,63.714348,63.0618717400002,192000,3171.16347580544,202048.613262358,10048.6132623577
"SPY",2009-04-30,70.044128,63.7340940000002,193000,3185.4401900505,223121.380408241,30121.3804082415
"SPY",2009-05-29,74.138451,69.1449639800002,194000,3198.92846754364,237163.60144349,43163.6014434896
"SPY",2009-06-30,74.089905,72.8317890800002,195000,3212.42558297388,238008.306262104,43008.3062621042
"SPY",2009-07-31,79.617432,74.6784651200002,196000,3224.98564645344,256765.075407483,60765.075407483
"SPY",2009-08-31,82.558472,77.7137371600002,197000,3237.09827373172,267249.887193128,70249.8871931285
"SPY",2009-09-30,85.485748,82.3777023000002,198000,3248.79613008083,277725.767279465,79725.7672794648
"SPY",2009-10-30,83.842247,85.1815116200001,199000,3260.72329133642,273386.367590881,74386.3675908808
"SPY",2009-11-30,89.00753,87.0963727600001,2e+05,3271.95829583547,291228.926175325,91228.9261753249
"SPY",2009-12-31,90.707649,88.8720066800002,201000,3282.98272443686,297791.644641282,96791.6446412824
"SPY",2010-01-29,87.41111,90.5982082000002,202000,3294.42291779443,287969.16405385,85969.16405385
"SPY",2010-02-26,90.137856,90.3146117200002,203000,3305.51703567538,297952.218567254,94952.2185672543
"SPY",2010-03-31,95.625435,91.3848804200002,204000,3315.97450444402,317091.504436369,113091.504436369
"SPY",2010-04-30,97.104759,95.2572793400002,205000,3326.27266089174,322996.905104181,117996.905104181
"SPY",2010-05-28,89.389351,95.2055028400002,206000,3337.45967577453,298333.354406155,92333.3544061555
"SPY",2010-06-30,84.764252,91.7509782400002,207000,3349.2571018876,283897.27299719,76897.2729971904
"SPY",2010-07-30,90.553703,88.8423276000001,208000,3360.30027259041,304287.632874971,96287.6328749707
"SPY",2010-08-31,86.480568,88.9876890600001,209000,3371.86356389534,291600.676224173,82600.6762241732
"SPY",2010-09-30,94.225327,91.0110893000001,210000,3382.47642173132,318714.946907424,108714.946907424
"SPY",2010-10-29,97.824875,93.4769662400001,211000,3392.69877059709,331890.333146314,120890.333146314
"SPY",2010-11-30,97.824875,97.3680218200001,212000,3402.92111946285,332890.333146314,120890.333146314
